Date;Temperature;Humidity;Precipitation;HDD;CDD
2012-5-2;24.09;67.09;0.28;0.00;0.00
2012-5-3;24.86;71.18;0.37;0.00;0.00
2012-5-4;23.91;71.45;0.42;0.00;0.00
2012-5-5;24.95;71.09;0.55;0.00;0.00
2012-5-6;24.36;71.00;0.00;0.00;0.00
2012-5-7;23.77;68.36;0.05;0.00;0.00
2012-5-8;21.91;75.82;0.30;0.00;0.00
2012-5-9;23.55;74.73;0.23;0.00;0.00
2012-5-10;25.14;69.82;0.00;0.00;0.14
2012-5-11;26.68;62.91;0.09;0.00;1.68
2012-5-12;26.00;70.82;0.00;0.00;1.00
2012-5-13;24.95;74.18;0.00;0.00;0.00
2012-5-14;22.45;83.00;0.99;0.00;0.00
2012-5-15;20.82;86.45;0.53;0.00;0.00
2012-5-16;21.45;82.73;0.83;0.00;0.00
2012-5-17;21.73;72.64;0.00;0.00;0.00
2012-5-18;22.91;69.91;0.00;0.00;0.00
2012-5-19;22.23;72.09;0.00;0.00;0.00
2012-5-20;21.55;77.09;1.02;0.00;0.00
2012-5-21;21.95;78.36;0.53;0.00;0.00
2012-5-22;21.91;76.36;0.30;0.00;0.00
2012-5-23;22.27;77.27;0.28;0.00;0.00
2012-5-24;23.36;76.09;0.00;0.00;0.00
2012-5-25;24.91;75.36;0.00;0.00;0.00
2012-5-26;24.45;79.82;0.00;0.00;0.00
2012-5-27;26.14;71.91;0.00;0.00;1.14
2012-5-28;26.41;73.09;0.09;0.00;1.41
2012-5-29;26.59;71.73;1.09;0.00;1.59
2012-5-30;26.91;69.45;0.00;0.00;1.91
2012-5-31;27.05;68.82;0.00;0.00;2.05
2012-6-1;25.64;73.36;1.36;0.00;0.64
2012-6-2;26.09;74.82;0.55;0.00;1.09
2012-6-3;26.73;69.91;0.05;0.00;1.73
2012-6-4;27.68;67.00;0.00;0.00;2.68
2012-6-5;26.18;73.73;0.00;0.00;1.18
2012-6-6;24.05;80.55;0.09;0.00;0.00
2012-6-7;22.73;82.55;0.46;0.00;0.00
2012-6-8;22.45;81.82;0.55;0.00;0.00
2012-6-9;23.77;77.64;0.28;0.00;0.00
2012-6-10;24.00;75.18;0.18;0.00;0.00
2012-6-11;24.68;74.45;0.37;0.00;0.00
2012-6-12;24.77;70.55;0.21;0.00;0.00
2012-6-13;24.55;72.73;0.28;0.00;0.00
2012-6-14;25.00;69.36;0.00;0.00;0.00
2012-6-15;23.82;68.36;0.18;0.00;0.00
2012-6-16;24.59;69.36;0.00;0.00;0.00
2012-6-17;24.95;65.00;0.00;0.00;0.00
2012-6-18;25.59;63.27;0.00;0.00;0.59
2012-6-19;25.82;68.45;0.00;0.00;0.82
2012-6-20;25.09;73.09;0.00;0.00;0.09
2012-6-21;24.68;76.64;0.00;0.00;0.00
2012-6-22;25.14;74.09;0.00;0.00;0.14
2012-6-23;24.73;70.27;0.00;0.00;0.00
2012-6-24;23.18;79.45;0.14;0.00;0.00
2012-6-25;23.95;74.91;0.00;0.00;0.00
2012-6-26;22.36;72.82;0.46;0.00;0.00
2012-6-27;23.45;70.55;0.02;0.00;0.00
2012-6-28;23.36;73.00;0.12;0.00;0.00
2012-6-29;24.09;70.18;1.73;0.00;0.00
2012-6-30;25.00;66.45;0.00;0.00;0.00
2012-7-1;24.00;71.40;0.23;0.00;0.00
2012-7-2;24.23;66.00;0.09;0.00;0.00
2012-7-3;24.18;66.64;0.18;0.00;0.00
2012-7-4;23.18;68.73;1.36;0.00;0.00
2012-7-5;24.14;67.09;0.18;0.00;0.00
2012-7-6;24.00;66.73;0.18;0.00;0.00
2012-7-7;24.36;67.91;0.00;0.00;0.00
2012-7-8;22.91;74.82;0.00;0.00;0.00
2012-7-9;22.32;73.09;0.65;0.00;0.00
2012-7-10;22.68;68.36;0.00;0.00;0.00
2012-7-11;24.55;63.91;0.00;0.00;0.00
2012-7-12;26.32;63.64;0.00;0.00;1.32
2012-7-13;23.91;67.45;0.00;0.00;0.00
2012-7-14;24.91;65.18;0.00;0.00;0.00
2012-7-15;24.27;68.64;0.30;0.00;0.00
2012-7-16;21.64;76.36;0.28;0.00;0.00
2012-7-17;22.23;75.36;0.18;0.00;0.00
2012-7-18;21.05;74.09;0.00;0.00;0.00
2012-7-19;22.68;63.55;0.00;0.00;0.00
2012-7-20;23.91;62.18;0.65;0.00;0.00
2012-7-21;25.73;59.82;0.18;0.00;0.73
2012-7-22;26.73;58.45;0.00;0.00;1.73
2012-7-23;26.55;59.09;0.00;0.00;1.55
2012-7-24;25.77;56.00;0.00;0.00;0.77
2012-7-25;25.77;53.27;0.00;0.00;0.77
